College Name,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Facilities,College Type,Average Fees
National Institute of Technology Rourkela ,647 Acres,4811,329,2007,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,350600
Visvesvaraya National Institute of Technology Nagpur ,215 Acres,1071,192,2007,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Public/Government,273596.6667
Indian Institution of Information Tecnology Delhi,145 Acres,3759,101,2018,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations",Public/Government,352320
Indian Institute of  Information Technology  Surat,251 Acres,4785,170,1961,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Public/Government,224208.3333
National Institute of Technology Durgapur ,187 Acres,3580,178,1960,"Boys Hostel, Girls Hostel, Gym, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations",Public/Government,296571.7949
Indian Institute of  Information Technology Pune,17 Acres,1647,235,1983,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Banks Facilities",Private,695000
National Institute of Technology Kurukshetra ,300 Acres,4660,179,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations, Banks Facilities",Public/Government,274000
Malaviya National Institute of Technology Jaipur ,317 Acres,4519,194,2007,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, IT Infrastructure, Guest Room, Banks Facilities",Public/Government,357081.0811
Maulana Azad National Institute of Technology Bhopal ,650 Acres,5137,179,1960,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Public/Government,264609.7561
Indian Institute of Information Technology Allahabad ,100 Acres,1669,63,1999,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Guest Room",Public/Government,313000
Indian Institute of Technology Indian School of Mines Dhanbad ,218 Acres,7545,293,1926,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room",Public/Government,265595.7447
Indian Institute of Technology Gandhinagar ,400 Acres,1588,96,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Classrooms, Laboratories, Alumni Associations, Banks Facilities",Public/Government,432550
Indian Institute of Technology Ropar ,500 Acres,1468,115,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Alumni Associations, Guest Room",Public/Government,358525.4545
National Institute of Technology Silchar ,625 Acres,3379,209,1967,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,252717.6
Atal Bihari Vajpayee Indian Institute of Information Technology and Management Gwalior ,160 Acres,956,38,1997,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Alumni Associations",Public/Government,379000
National Institute of Technology Raipur ,100 Acres,3785,242,1956,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Banks Facilities",Public/Government,377000
Institute of Engineering and Technology Lucknow,100 Acres,2545,63,1984,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, IT Infrastructure, Laboratories, Banks Facilities",Public/Government,265307.6923
Dr B R Ambedkar National Institute of Technology Jalandhar ,154 Acres,3340,208,2002,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,309872.7273
Indian Institute of  Information Technology Bhubaneswar ,936 Acres,1750,129,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Public/Government,518128.2353
Indian Institute of Technology Patna ,500 Acres,1538,113,2008,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Alumni Associations, Guest Room",Public/Government,322481.6667
National Institute of Technology Jamshedpur ,341 Acres,2762,154,2002,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,366037.037
National Institute of Technology Hamirpur ,320 Acres,3476,132,1986,"Boys Hostel, Girls Hostel, Library, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,290307.8125
National Institute of Technology Uttarakhand ,3 Acres,964,62,2009,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Banks Facilities",Public/Government,315000
National Institute of Technology Agartala ,366 Acres,3489,104,1965,"Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Banks Facilities",Public/Government,260783.7838
Indian Institute of  Information Technology  Kalyani,75 Acres,1480,56,1995,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Auditorium, IT Infrastructure, Classrooms, Laboratories, Alumni Associations",Public/Government,56592.72727
National Institute of Technology Puducherry Karaikal ,258 Acres,765,37,2009,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, IT Infrastructure, Alumni Associations",Public/Government,232562.5
National Institute of Technology Meghalaya ,300 Acres,920,67,2010,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations",Public/Government,286307.6923
National Institute of Technology Nagaland ,291 Acres,563,42,2010,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Banks Facilities",Public/Government,386000
National Institute of Technology Mizoram ,190 Acres,450,31,2010,"Boys Hostel, Girls Hostel, Library, Sports, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Alumni Associations",Public/Government,372555.5556
Indian Institute of  Information Technology  Ranchi,65 Acres,743,40,1966,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Laboratories, Alumni Associations, Guest Room, Banks Facilities",Public/Government,113815
Indian Institute of  Information Technology  Vadodara,100 Acres,4341,278,2003,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Alumni Associations, Guest Room, Banks Facilities",Private,257500
Jaypee University of Engineering and Technology,125 Acres,1396,326,2010,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Private,394818.1818
Warangal Institute of Technology and Science,26 Acres,375,82,2009,"Boys Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Guest Room",Private,120500
Indian Institute of Information Bombay,647 Acres,4811,329,2007,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,350600
Indian Institute of Technology Hyderabad ,648 Acres,4811,329,2007,"Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Swimming Pool, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Public/Government,350601
